2026-06-24 12:24:02 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.002s
2026-06-24 12:24:02 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:24:02 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=ValueError): Unsupported file extension: .xyz
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:24:02 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=5,end=1)
2026-06-24 12:24:02 | services.operations.split_pdf_adapter | ERROR | split_pdf failed (mapped=FileValidationError original=ValueError): Invalid page range
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.001s
2026-06-24 12:24:02 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:24:02 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=ConversionError original=PDFSyntaxError): No /Root object! - Is this really a PDF?
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.013s
2026-06-24 12:24:02 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:24:02 | services.operations.compress_pdf_adapter | ERROR | compress_pdf failed (mapped=CompressionError original=FileDataError): Failed to open stream
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.148s
2026-06-24 12:24:02 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:24:02 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=OCRProcessingError original=RuntimeError): tesseract: failed to initialize OCR
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.002s
2026-06-24 12:24:02 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:24:02 | services.operations.word_to_pdf_adapter | ERROR | Word -> PDF conversion failed (mapped=ConversionError original=RuntimeError): soffice failed with exit status 1
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.001s
2026-06-24 12:24:05 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:24:14 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:24:14 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=8.979s
2026-06-24 12:24:14 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:24:14 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:24:14 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.046s
2026-06-24 12:24:14 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:24:18 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:24:18 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=4.721s
2026-06-24 12:24:19 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:24:19 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:24:19 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.304s
2026-06-24 12:24:19 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
